id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugx2V8hB1jsduWOCX0t4AaABAg	0	0	2018-02-16 09:47:25	marco wall	he aint crazy he pulling fire alarms so he can get them in a group	UCoOpbZnQVqv7knt6mk-tc5w	http://www.youtube.com/channel/UCoOpbZnQVqv7knt6mk-tc5w	0		
Ugws1VWqcMfbZRXB1yB4AaABAg	0	0	2018-02-16 08:56:09	Alberto C	<a href="https://youtu.be/aGTLbTVMf5o">https://youtu.be/aGTLbTVMf5o</a>	UCGUOoFLeILnKfC-hNNkcwLg	http://www.youtube.com/channel/UCGUOoFLeILnKfC-hNNkcwLg	0		
Ugxz_QA60l0uvdmWQY94AaABAg	0	0	2018-02-16 08:31:45	Dexter Morgan	May he slowly suffer in prison. Let his own mind be his worst enemy. Memories, boredom, and time slowly devouring the last bit of sanity he has.	UC0DQhjT10NpaGqh7Jjg4q1w	http://www.youtube.com/channel/UC0DQhjT10NpaGqh7Jjg4q1w	0		
Ugx31gzs6ogDXp1ipwF4AaABAg	0	0	2018-02-16 07:50:08	Thorium	Someone didn&#39;t lose their virginity...	UCSMIHXh_FnHfOr6AK_mswrA	http://www.youtube.com/channel/UCSMIHXh_FnHfOr6AK_mswrA	0		
Ugy2PLOqO9pbbq0DAHR4AaABAg	0	0	2018-02-16 07:32:58	JicabobTv	Nikolas cruz deserves the worst torture a human can handle..die slow you punk	UC4Vthqnsw9QrQA0S4C3nDXQ	http://www.youtube.com/channel/UC4Vthqnsw9QrQA0S4C3nDXQ	0		
Ugyc6AGM7-E3NyG_8sN4AaABAg	0	1	2018-02-16 07:08:31	Malachi M	Make the school have only 1-3 entrances and pay MAYBE 150k a year for 4-5 ARMED security guards. Kids seeing uniformed guards who are friendly and greet them every day and happen to have a pistol at their hip will not damage their psyche as some have suggested. What will damage their psyche is getting shot by a psychopath.	UC_vPbFYvG-73_C60ul6fsZw	http://www.youtube.com/channel/UC_vPbFYvG-73_C60ul6fsZw	0		
UgwqA-GKjHOd1ui-4894AaABAg	0	0	2018-02-16 07:04:10	delbert locke	Is Black Hat, Burgundy Shirt &amp; black pants the schools ROTC clothing color the shooter was said to put on &amp; leave the school and arrested in?	UCXzf2s39bHzM9bxPyNLxg0g	http://www.youtube.com/channel/UCXzf2s39bHzM9bxPyNLxg0g	0		
UgwTx9Z6C0lRjiWsrOp4AaABAg	0	0	2018-02-16 07:00:49	tamuniverse	Condolences😢...but why should not we say its terrorist attack!?	UC6jiK042nJjydJx405Wh2iw	http://www.youtube.com/channel/UC6jiK042nJjydJx405Wh2iw	0		
UgzodlLtJtYIuC-bSH94AaABAg	0	0	2018-02-16 06:55:25	Calvin Huynh	The fact that most school shooters commit suicide, the fact that he instead tried to run away and have the cops catch him after murdering 17 people, is beyond me. I dont care if hes mentally ill, or had a bad upbringing. He needs to be executed, period.	UCiNccAZeMtUCcN_LfqgrkCA	http://www.youtube.com/channel/UCiNccAZeMtUCcN_LfqgrkCA	0		
UgzRIfb_C8CVOsVdapZ4AaABAg	0	0	2018-02-16 06:53:26	Tom Brady	More like happy death day haha	UCfnOlHzJlJY8ek0BQ4RQL7A	http://www.youtube.com/channel/UCfnOlHzJlJY8ek0BQ4RQL7A	0		
